ID,xmi_id,"cls_xmi_id","cls_name","cls_visibility"
30,5,"UMLClass.24","FLASH MEMORY ARRAYPAGE 5121528 BYTES","public"
31,6,"UMLClass.24","RASH MEMORY ARRAYPAGE 5121528 BYTES","public"
98,14,"UMLClass.24","ParamSet","public"
99,14,"UMLClass.25","GraphNode 1","public"
100,14,"UMLClass.26","Element","public"
101,14,"UMLClass.27","Circuit","public"
102,14,"UMLClass.28","Model","public"
103,14,"UMLClass.29","Xsubckt","public"
104,14,"UMLClass.30","Terminal","public"
105,14,"UMLClass.31","SubCircuit","public"
106,14,"UMLClass.32","OutRequest","public"
107,14,"UMLClass.33","InternalTerminal","public"
108,14,"UMLClass.34","ParamError","public"
109,14,"UMLClass.35","CircuitError","public"
243,29,"UMLClass.24","ClassifyWorker","public"
244,29,"UMLClass.25","key—>inheritance—*awareness","public"
245,29,"UMLClass.26","EMPTY","public"
246,29,"UMLClass.27","EMPTY","public"
247,29,"UMLClass.28","LoadWorker","public"
248,29,"UMLClass.29","EMPTY","public"
249,29,"UMLClass.30","SaveWorker","public"
250,29,"UMLClass.31","DrawWorker","public"
251,29,"UMLClass.32","TwoDeeOvervi ew","public"
252,29,"UMLClass.33","Profile","public"
253,29,"UMLClass.34","Worker","public"
254,29,"UMLClass.35","Sel ec tionBox","public"
255,29,"UMLClass.36","BoxOverlay","public"
256,29,"UMLClass.37","LagDisplay","public"
263,31,"UMLClass.24","EMPTY","public"
264,31,"UMLClass.25","Event","public"
265,32,"UMLClass.24","EMPTY","public"
266,32,"UMLClass.25","Category","public"
267,32,"UMLClass.26","Thread","public"
268,32,"UMLClass.27","Post","public"
269,33,"UMLClass.24","EMPTY","public"
270,33,"UMLClass.25","name Stringicon Stringdescription Stringun String","public"
271,34,"UMLClass.24","EMPTY","public"
272,34,"UMLClass.25","Guide","public"
273,35,"UMLClass.24","EMPTY","public"
274,35,"UMLClass.25","Message","public"
289,37,"UMLClass.24","TosfComponnt","public"
290,37,"UMLClass.25","TostCase","public"
291,37,"UMLClass.26","TestSuito","public"
292,38,"UMLClass.24","EMPTY","public"
293,38,"UMLClass.25","FunctionHandleTestCase","public"
294,39,"UMLClass.24","I TestRunMonitor I","public"
295,39,"UMLClass.25","TestRunLogger","public"
296,39,"UMLClass.26","CommandWindowTestRunDisplay","public"
362,48,"UMLClass.24","Deac onObservable","public"
363,48,"UMLClass.25","interfaceDeac o nO bs erver","public"
